所述 的 导入 篮 ( 13 ) 在 方导柱 ( 10 ) 上 可作 垂直 运动 。 ||| the introduction of the basket ( 13 ) in the 方导柱 ( 10 ) can be done on the vertical movement .
本发明 公开 了 一种 话费 异常 的 处理 方法 及 装置 。 ||| the present invention discloses a method for the treatment of abnormal phone and device .
本 方案 公开 了 一种 路 测数据 的 获取 方法 、 路 测数据 的 获取 系统 及 装置 。 ||| this scheme discloses a link data acquisition method , link data acquisition system and device .
本发明 采用 不同于 传统 电磁 透明 材料 的 透 波 原理 , 使 电磁波 透明 特性 不 拘于 基材 材质 从而 极大 提高 电磁 透明 材料 的 适用范围 。 ||| using the present invention differs from the conventional electromagnetic wave principle of transparent material is a transparent , so that the electromagnetic wave characteristic is not bound by the substrate material to greatly enhance the applicability of electromagnetically transparent material .
本 申请 涉及 通信 领域 , 公开 了 一种 对 HeNB 进行 定位 的 方法 及 装置 , 用以 准确 掌握 HeNB 的 位置 信息 。 ||| the present invention relates to the field of communications , the henb discloses a method for locating and means for henb exact knowledge of the location information .
本发明 进一步 提供 一种 MIMO 天线 和 超 材料 射频 天线 。 ||| the present invention further provides a mimo antenna and meta- material radio frequency antenna .
流媒体 存储 、 播放 方法 及 相应 系统 , 基于 数字视频 广播 级别 ( DVBTier ) 实现 流媒体 的 存储 和 播放 , 使 用户 在 进行 与 特技 模式 相关 的 播放 时 可以 获得 与 期望 一致 的 效果 。 ||| the streaming media storage , playing method and corresponding digital video broadcast system based on level ( dvbtier ) implementation of streaming media storage and playback is performed for a user associated with the trick mode playback can be obtained when a consistent with the desired effect .
本发明 公开 了 一种 控制 UE 测量 的 方法 , 包括 : 无线网络 控制器 向 UE 发送 ANR 测量 配置 消息 ; UE 接收 ANR 测量 配置 消息 , 进行 ANR 测量 并 在 缓存 区 中 保存 测量 结果 ; 当 缓存 区 已 满 时 , UE 需要 保存 新 的 测量 结果 时 , 利用 新 的 测量 结果 覆盖 以前 保存 的 测量 结果 。 ||| the present invention discloses a method for controlling a ue measurement , comprising : a radio network controller sends to the ue the anr measurement configuration messages , the ue receives the anr measurement configuration messages , anr is measured and the measurement results are stored in the buffer area ; when the buffer is full , the ue is required to hold a new measurement is covered with the new measurement result of the measurement results of the previously saved .
通过 本发明 , 用户 可以 通过 签约 的 终端 , 完成 安全 的 鉴 权 , 并 通知 IPTV 网络 侧 , 将 根据 第一 终端 的 IPTV 签约 信息 , 向 第二 终端 发送 相关 的 业务 内容 。 ||| by the present invention , a user may , through a terminal is subscribed , completion of the security authentication , and notifies the iptv network side according to the first terminal of the iptv subscription information , is sent to a second terminal of the associated service content .
该 装置 还 包括 电压 检测 模块 、 判断 模块 、 控制 模块 和 串联 在 多媒体 端子 接口 中 的 第二 电阻 。 ||| the apparatus further comprises voltage detection module , a decision module , the control module and the multimedia terminals coupled in series with a second resistor in the interface .
一种 无线通信 网络 的 动态 优化 方法 、 装置 及 无线通信 系统 。 ||| a wireless communication network the dynamic optimization method , device , and a wireless communication system .
该 方法 包括 : 接收 客户 根据 功能 列表 选择 的 待 改变 的 功能 ; 根据 本地 的 标识 信息 生成 一 密钥 对 , 该 密钥 对 包括 : 私钥 K ||| the method comprises : receiving a customer list is selected according to the function of the function to be varied according to the local identification information ; generating a key pair , the key pair comprising : a private key k
本发明 提供 了 一种 用于 资源 请求 的 方法 、 站点 和 中心 接入点 , 该 方法 包括 : 将 传输 资源 请求 承载 于 数据 帧 中 ; 发送 所述 携带 传输 资源 请求 的 数据 帧 。 ||| the present invention provides a method for resource request , the central station and the access point , the method comprising : requesting the transmission resources are carried in data frames ; transmitting said request for resources carrying the transmission data frame .
相比 现有 的 系统 级 封装 , 高集成度 的 圆 片 级 封装 更是 降低 了 系统 内电阻 、 电感 等 干扰 因素 , 也 更 能 顺应 半导体 封装 轻薄 短小 的 趋势 要求 。 ||| as compared to the existing system in package , highly integrated wafer level packaging system is even reducing the internal resistance , inductance , and the like , the interfering factors are also more readily conform to the tendency of the compact , lightweight , and thin semiconductor package requirements .
一种 数据 重传 方法 、 中继站 、 基站 和 通信 系统 。 ||| a data retransmission method , a relay , a base station and a communication system .
其中 第一 人造 微结构 的 光学 主轴 方向 与 第一 电场 方向 平行 , 第二 人造 微结构 的 光学 主轴 方向 与 第二 电场 方向 平行 。 ||| wherein the first artificial microstructured optical principal axis direction is parallel to the first direction of the electric field , the second artificial microstructured optical principal axis direction is parallel to the second direction of the electric field .
该 太阳电池 组件 包括 由 多个 按 行 / 列 排列 的 上述 太阳电池 构成 的 太阳电池 串 。 ||| the solar cell assembly comprising a plurality of aligned in rows / columns of said solar cell constitutes a solar cell string .
该 方法 包括 : 具有 数字 生活 网络 联盟 ( DLNA ) 功能 的 主设备 和 至少 一个 具有 DLNA 功能 的 辅 设备 组成 局域网 ; 所述 主设备 从 流媒体 内容 服务器 获取 流媒体 资源 并 进行 解码 ; 所述 主设备 播放 解码 后 的 流媒体 资源 , 并 向 所述 局域网 内 的 辅 设备 共享 传输 解码 后 的 流媒体 资源 。 ||| the method includes : a digital living network alliance ( dlna ) function of the at least one master device and a slave device having dlna functions of the master device , a local area network ; the server retrieves the streaming media from a streaming media content for decoding resources and played after decoding ; said master device , and a streaming media resources to said slave device in the local area network streaming media decoded shared transmission resources .
本发明 涉及 一 种吸波 超 材料 , 其 包括 具有 两 相对 侧 表面 的 基材 。 ||| the present invention relates to a superabsorbent material comprising 种吸波 ) with opposite side surfaces of the substrate .
本发明 还 同时 公开 了 基于 SDR 的 基带 射频 接口 的 应用 方法 , 运用 该 基带 射频 接口 和 其 应用 方法 可 保证 基带 射频 接口 在 具有 通用性 的 同时 具备 电路 简单 , 功耗 低 的 优点 , 且 可 简单 实现 对 矢量 处理器 或 多 核 数字 信号处理器 ( DSP ) 的 调度 。 ||| the present invention also simultaneously based on the sdr discloses a method for the application of the baseband radio interface using the baseband radio frequency interface and its method of use in the baseband radio interface can be guaranteed with the commonality of the simple circuit provided at the same time , the advantages of low power consumption , and the vector can be simply realized multi- core processor or a digital signal processor ( dsp ) scheduling .
本发明 提供 一种 拨号 设备 及 根据 用户 需求 实现 虚拟拨号 的 方法 。 ||| the present invention provides a dial device implemented according to the user 's needs and 虚拟拨号 method .
一种 数据处理 方法 、 数据处理系统 以及 相关 设备 , 用于 降低 系统 功耗 。 ||| a data processing method , the data processing system and associated apparatus for reducing the power consumption of the system .
本发明 实施 例 还 提供 相应 的 云 客户端 和 本地 客户端 。 ||| embodiments of the present invention also provides a corresponding cloud client and the local client .
本发明 提供 的 技术 方案 可 用于 解决 部分 场景 中 时间 同步 设备 的 下游 设备 无法 切换 到 时钟 精度 较 高 的 时间 同步 设备 上 的 问题 。 ||| the present invention provides a technique for solving scheme may be part of a time synchronization device in a scene downstream device is not able to switch to the higher clock accuracy on a time synchronization device of the problem .
本发明 还 同时 公开 了 一种 移动 终端 。 ||| the present invention also discloses a mobile terminal .
本发明 的 方法 能够 很 好 的 控制 电力系统 的 有功 潮流 和 无功 潮流 、 提高 电力系统 运行 的 经济性 和 安全性 。 ||| the method of the present invention to provide for good control of the electrical system of the real power flow and the reactive power flow , improving the economics of the operation of the power system and security .
本发明 实施 例 由 单独 的 时钟 板 向 所有 的 交叉 板 和 业务 板 提供 帧 头 , 交叉 板 之间 以及 交叉 板 和 业务 板 之间 不再 传递 帧 头 信息 , 从而 可以 节约 背板 走 线 , 并 减少 背板 接插件 数量 。 ||| embodiments of the present invention by a separate clock plate to all of the cross plate and the service panel provides a frame header , the cross plates and between the cross plate and traffic between plates is no longer transmit frame header information and therefore saves the backplate traces , and reduces the number of the backplane connector .
然后 确定 目标 通信 网络设备 和 目标 通信 网络设备 的 接口 。 ||| then determines the target communication network device and the target communication network device interface .
该 装置 可以 与 移动 终端 的 锁 卡 软件 配合 , 实现 SIM 卡 的 双重 保护 , 即使 移动 终端 中 的 锁 卡 软件 被 非法 破解 , 但是 , 由于 SIM 卡 处于 锁死 状态 无法 正常 取出 , 从而 大大提高 了 移动 终端 的 安全性 , 并 保护 了 运营商 和 移动 终端 厂商 的 合法权益 。 ||| the mobile terminal device may be connected to a latch mating , sim card software implementing a double protection , even if the mobile terminal in the latch software from being illegally defeat , however , since the sim card is in the deadlocked state cannot be normally removed , thereby greatly increasing the security of a mobile terminal , and to protect the operator and the mobile terminal manufacturers 合法权益 .
所述 按键 设置 于 所述 插槽 内 。 ||| the keys are disposed in said slot .
本发明 还 公开 了 一种 基于 多点 协作 的 集中式 有线 口 数据传输 系统 。 ||| the present invention also discloses a variation on a multipoint cooperative centralised wired port data transmission system .
本发明 还 提供 了 一种 光 功率 调测 装置 及 系统 。 ||| the present invention also provides an optical power 调测 devices and systems .
本 申请 还 公开 了 用于 实现 所述 方法 的 装置 。 ||| this application also discloses a device for implementing the method .
其中 , 该 激光 投影 光源 模块 包括 : 第一 激光 模块 , 包括 第一 激光器 阵列 ; 第二 激光 模块 , 包括 第二 激光器 阵列 ; 第三 激光 模块 , 包括 第三 激光器 阵列 ; 以及 RGB 合 光镜 , 用于 对 红色 激光 模块 、 绿色 激光 模块 和 蓝色 激光 模块 发出 的 光 进行 合 束 处理 以及 输出 合 束 之后 的 光束 。 ||| wherein , the laser projection light source module comprising : a first laser module , comprising : a first laser array ; the second laser module , comprising a second laser array ; the third laser module , comprising a third laser array ; and rgb laminated mirror for the red laser module , the green laser module and a blue laser module of light emitted by a light beam processing , and outputs the combined beam. the beam after
本发明 公开 了 一种 传输数据 的 方法 和 系统 。 ||| the present invention discloses a method and system for the transmission of data .
本发明 公开 了 一种 终端 发送数据 的 方法 及 装置 。 ||| the present invention discloses a method and apparatus that transmits data to terminals .
接收机 还 包括 控制电路 , 该 控制电路 耦合 至 输出 端子 和 至少 一个 控制 输入 端 。 ||| the receiver also comprises a control circuit , the control circuit is coupled to the output terminal and the at least one control input .
同时 本发明 中 提供 的 实现 彩信 内容 植入 的 方法 , 非常简单 实用 , 对于 现有 系统 的 改造 小 、 实用性 强 。 ||| while the present invention is provided in the implementation of a method of implanting the content value is very simple practical engineering of an existing system , for small , utility is strong .
由于 二极管 检波器 的 结构 简单 , 不仅 减少 了 反馈 通道 上 射频 器件 的 数量 , 降低 了 硬件 实现 复杂度 , 减少 了 功耗 , 还 能够 将 反馈 通道 的 模拟 部分 集成 到 单芯片 上 。 ||| since the diode detector has a simple structure , not only reduces the feedback channel , on the number of radio frequency devices , reducing the hardware implementation complexity , power consumption can be reduced , and further capable of the feedback path of an analog part is integrated into a chip .
本发明 针对 不同 的 时序 配置 , 采用 不同 的 调度 方式 , 通过 使 主 载波 和 辅 载波 的 无线 帧 起始 时刻 保持 固定 时间 偏移 , 从而 实现 了 在 多 载波 系统 跨 载波 调度 时 , 主 辅 载 能够 对 辅 载波 同 时隙 的 载波 资源 进行 完整 的 调度 和 使用 。 ||| the present invention is directed to a different timing configuration , the use of different scheduling manner , by making the main carrier and the secondary carrier radio frame starting time is held fixed time offset , thereby achieving the carriers in a multi- carrier system , the scheduled time across the primary and secondary carrier with the slot on the subcarriers is capable of making a full carrier resources scheduling and used .
其中 , 所述 信号 放大器 还 包括 第一 调谐 电路 和 第一 输入 滤波器 件 。 ||| wherein said signal amplifier further comprises a first tuning circuit and the first input filter means .
本发明 公开 了 一种 无线 资源 控制 RRC 连接 重 建立 的 方法 和 设备 , 属于 无线通信 领域 ||| the present invention discloses a radio resource control rrc connection was established , a method and a device belonging to the radio communications field
本 申请 还 公开 了 用于 实现 所述 方法 的 装置 。 ||| this application also discloses a device for implementing the method .
该 方法 包括 : 发送 方 客户端 发送 第一 媒体 消息 , 其中 携带 网络媒体 内容 标识 ; 服务器 接收 所述 第一 媒体 消息 , 根据 所述 网络媒体 内容 标识 获取 相应 的 网络媒体 内容 , 并 生成 第二 媒体 消息 , 其中 携带 获取 的 所述 网络媒体 内容 ; 所述 接收 方 客户端 从 所述 媒体 服务器 获取 所述 第二 媒体 消息 。 ||| the method comprising : sending a first sender client , wherein the media message carrying the network media content identification ; server receives said first media message , according to the network media content identification of the corresponding network media content is acquired , and generates the second media message , and wherein said network medium carrying the acquired content ; the recipient client from the media server to retrieve the second media messages .
弹片 在 抽屉 盒 推入 所述 抽屉 罩 时 弹入 所述 凹槽 。 ||| the spring pieces in the drawer when the drawer box into the recess into the cover .
本发明 能够 减少 和 避免 2 / 3 G 双模单 待 终端 因为 " 2 、 3 G 双模 切换 " 策略 所 导致 的 网络 重选 频繁 , 耗电 严重 , 通话 掉话 , 脱网 等 故障 , 提高 终端 的 用户 使用 体验 。 ||| the present invention can reduce and avoid 2 / 3 g to be terminal because 双模单 " 2 , 3 g dual- mode handover " policies of the network reselection frequently caused severe , the power consuming calls , call failure 脱网 et al . , improve the user of the terminal use experience .
本发明 利用 AAA 服务器 实现 基于 WCDMA 的 身份 位置 分离 网络 中 映射 服务器 的 主要 功能 。 ||| the present invention is implemented using the aaa server based on the identity of the wcdma network in position separation is the primary function of the mapping server .
本发明 公开 了 一 种宫格 界面 的 显示 方法 及 移动 终端 。 ||| the present invention discloses a 种宫格 interface and the display method of the mobile terminal .
本发明 能 为 呼叫 过程 中 的 多媒体 流 进行 反转 计费 , 拓展 了 反转 计费 的 应用 。 ||| the present invention is capable of multimedia streams during a call was reversed charging , extends the reverse billing applications .
本发明 能 支持 各种 情况 下 的 多媒体 流 的 反转 计费 , 可以 仅 对 部分 媒体 流 、 也 可以 针对 全部 媒体 流 , 可 进行 全程 计费 , 也 可以 对 某 时间段 的 多媒体 流 进行 计费 。 ||| the present invention can support various cases of the media streams can be reversed , accounting for only part of the media stream , the media stream may also be for all of the global billing may be carried out for a certain period of time , it is also possible for billing a multimedia stream .
本发明 公开 了 一种 网络 模拟 结构 及其 模拟 方法 , 结构 包括 多个 节点 及 弧 , 所述 节点 之间 通过 弧 连接 , 所述 弧 上 设有 开关 , 控制 弧 的 通 断 , 从而 改变 网络 的 拓扑 结构 。 ||| the present invention discloses a method and its analog network simulation structure , the structure comprising a plurality of nodes and arcs , the arc between the nodes connected by the arc that is provided with a switch , the control of the arcs of the on / off , thereby changing the network topology .
本发明 可以 为 用户 提供 更多 选择 去 浏览 和 编辑 该 视频 。 ||| the present invention more options may be provided for a user to browse and editing the video .
采用 本发明 可以 实现 自动 配置 传输 设备 之间 的 FEC 模式 , 避免 人工 操作 造成 差错 。 ||| the automatic configuration can be achieved using the present invention between the transmission apparatus , the fec mode , to avoid manual operation causes an error .
本发明 中 , 由 点击 拨号 业务 应用服务器 来 执行 信令 控制 、 会议 混音 , 不 需要 特定 的 终端 , 并且 能够 在 点击 拨号 业务 应用服务器 的 控制 下 实现 对 多个 逻辑 被叫 的 组 呼 和 广播 。 ||| in the present invention , by clicking a dial- up service application server to perform the signaling control , conference mix , do not require the particular terminal , upon clicking a dial- up service and can be effected under the control of the application server to the plurality of logical called for a group call and broadcast .
本发明 实施 例 降低 了 NAT 设备 的 热 备份 处理 负荷 , 以及 提高 了 NAT 设备 的 热 备份 灵活性 和 热 备份 效率 。 ||| embodiments of the present invention reduces the hot backup of the nat device , as well as improves the processing load of the nat device flexibility and a hot backup hot backup efficiency .
同时 还 具有 其他 常规 共模 方案 中 降低 施工 成本 和 硬件 制造 成本 的 作用 , 并 使得 3 G 平滑 演进到 LTE / LTE-A 的 工作 风险 和 实施 难度 降到 最低 。 ||| at the same time also has other conventional common mode scheme and the hardware construction cost reduction in manufacturing costs , and so that the effect of the 3 g smooth operation of the lte / 演进到 lte - a difficulty and implement the risk is minimized .
该 方法 将 电力通信 装置 安装 在 电力 线路 上 , 以 有线 的 方式 将 信号 耦合 到 电力线 上 , 然后 根据 高压 电力线 特性 向 空间 传播 无线 载波 信号 , 最后 以 无线 的 方式 来 接收 无线 信号 。 ||| the method places the power communication device is mounted on a power line in a wired manner , the signals are coupled to a power line , then according to the high voltage power line characteristic to the space , and finally the wireless carrier signal propagation in a wireless manner to receive wireless signals .
采用 本发明 的 技术 方案 , 可以 使 缓存 服务器 系统 的 设置 和 使用 更加 简洁 方便 , 访问速度 更快 , 系统 可以 自动 扩展 , 以及 自动 进行 更新 。 ||| employing aspects of the present invention , the cache server system may be disposed and a more compact and convenient to use a faster access speed , the system may automatically expands , and automatically to be updated .
本发明 还 提供 了 一种 DHCP 动态 地址 配置 下 网络连接 保 活 装置 。 ||| the present invention also provides a dhcp dynamic address configuration for a network connection keep- alive mechanism .
一种 动态 隧道 故障诊断 方法 和 设备 及 系统 。 ||| a dynamic tunnel failure diagnosing method and apparatus and system .
运用 该 系统 和 方法 可 提高 移动 终端 数据 的 传输 效率 。 ||| using the system and method can improve the transmission efficiency of the mobile terminal data .
采用 本发明 所述 的 装置 及 方法 , 提高 了 存储介质 保存 日志 的 容量 , 以及 读写 日志 的 处理速度 , 且 避免 重要 日志 丢失 。 ||| using the apparatus and method of the present invention increases the capacity of the storage medium holding a log , and read and write log processing speed , and to avoid significant log loss .
互通 网 关节点 接收 所述 数据 报文 , 剥离 所述 接入 节点 的 位置 标识 以及 互通 网 关节点 的 地址 , 记录 所述 接入 节点 的 位置 标识 与 所述 用户 终端 对应 的 身份 标识 的 映射 关系 ; 以及 互通 网 关节点 向 外部 网络 发送 所述 数据 报文 。 ||| the interworking gateway node to receive the data message , and release the access node and the position of the interworking gateway node identifies the address of the access node , the recording position of a corresponding user terminal and the identification of the identity of the mapping relationship ; and to the external network interworking gateway node sending the data message .
本发明 公开 了 一种 隧道 信息 更新 的 方法 和 系统 。 ||| the present invention discloses a tunnel information update method and system .
控制 平面 带宽 调整 处理 方法 , 可以 提高 带宽 调整 的 成功率 。 ||| the control plane bandwidth adjustment processing method , it is possible to increase the success rate of bandwidth adjustment .
提供 了 一种 LED 恒 流 驱动 电路 。 ||| there is provided a led constant current drive circuit .
本发明 还 公开 了 一种 提示 用户 发生 业务 的 系统 以及 一种 支持 WLAN 功能 的 移动 终端 。 ||| the present invention also discloses a prompt the user traffic occurs , a system and a mobile terminal in a wlan functionality is supported .
本发明 提供 了 一种 简单 网络管理 协议 的 安全 保护 方法 和 装置 , 其中 , 上述 方法 包括 : 代理 站 监控 当前 是否 发生 预定 的 事件 ; 在 监控 到 发生 预定 的 事件 的 情况 下 , 代理 站 执行 锁定 操作 。 ||| the present invention provides a simple network management protocol security protection method and apparatus , wherein said method comprises : agent station monitors whether or not the occurrence of a predetermined event ; in the monitoring of the occurrence of a predetermined event , in the case of the agent station perform the locking operation .
所述 接收 方 根据 所述 消息 访问 所述 服务器 , 获取 所述 第一 加密 信息 , 利用 所述 密钥 解密 所述 第一 加密 信息 得到 所述 媒体 消息 。 本发明 方法 和 系统 可以 保证 媒体 消息 传输 的 安全 。 ||| the recipient of the message according to the access server , obtaining the first encrypted information , using the key to decrypt the first encrypted information to obtain the media message . the present methods and systems can ensure a secure message transmission media .
该 方法 包括 : 终端 根据 接收 的 测量 参考 信号 CSI-RS 或者 小区 专用 参考 信号 CRS 进行 信道 测量 , 并 确定 信道 状态 信息 CSI 参考 资源 以及 确定 信道 质量 指示 CQI 计算 的 条件 , 之后 所述 终端 根据 确定 的 条件 及 测量 结果 计算 对应 CSI 参考 资源 的 CQI 值 。 ||| the method comprises : receiving terminal according to a measured reference signal csi - rs or a cell dedicated channel measurements are made with reference to the signal crs , and determine the channel state information ( csi refers to the resource channel quality indication and to determine the condition of the cqi calculation , after the terminal based on the determined conditions and measurement results are calculated with reference to a resource corresponding to a cqi value of the csi .
隔离 单元 包括 第一 隔离 体 和 与 该 第一 隔离 体 并联 的 第二 隔离 体 。 ||| the disconnection unit comprises a first spacer , and in parallel with the first insulation of the second spacer .
该 方法 包括 : 网管 系统 接收 到 即时 话务 数据 后 , 将 所述 即时 话务 数据 写入 硬盘 中 无 格式 的 临时文件 , 从 所述 临时文件 读取 并 解析 所述 即时 话务 数据 后 , 将 解析 出 的 即时 话务 数据 按 相应 的 格式 进行 存储 。 ||| the method comprises : the network management system receives the traffic data , the instant after the instant traffic data is written to hard disk in the absence of a temporary file format from the temporary file reads and parses the instant traffic data , the parsed after the instant traffic data is stored in the corresponding format .
子 装置 ( 1 ) 的 旋转 端 刚性 连接 至 输出 轴 ( 3 ) 。 ||| the device ( 1 ) is rigidly attached to the end of rotation of the output shaft ( 3 ) .
本发明 公开 了 一种 移动 终端 及其 实现 功耗 控制 的 方法 , 可 由 移动 终端 检测 当前 的 业务 流量 , 获取 当前 带宽 使用率 ; 移动 终端 获取 满足 所述 带宽 使用率 的 最低 发射功率 级别 , 据此 进行 发射功率 调整 。 ||| the present invention discloses a mobile terminal and its implementation , a method of controlling power consumption may be used by the mobile terminal detects the current traffic , acquires the current bandwidth usage ; the mobile terminal to acquire the bandwidth usage that satisfies the lowest transmit power level of the transmit power adjustment is performed accordingly .
本发明 通过 在 通讯 终端 被 唤醒 后 , 对 摄像头 输入 的 用户 面部 信息 进行 身份 判别 , 若 判别 通过 , 则 通讯 终端 解锁 进入 应用 , 实现 了 通讯 终端 和 用户 之间 的 人机交互 及 情感 交流 , 提升 了 用户 的 使用 体验 。 ||| the present invention is awakened by the communication terminal on the stylus input after a user 's face , if at decision identity information is performed by the communication terminal judges the unlocking entry application is accomplished in a communication between the terminal and the user of the human- computer interaction and affective ac , enhancing the use experience for the user .
本发明 公开 了 一种 检测 终端 连接 丢失 的 方法 , 在 终端 的 签约 数据 中 增设 连接 丢失 的 检测 参数 。 ||| the present invention discloses a method of detecting terminal connection is lost in the subscription data of the terminal , the addition of a connection loss detection parameters .
本发明 公开 了 一种 对 环境噪声 进行 抑制 的 方法 及 装置 , 所述 方法 包括 以下 步骤 : 获取 最低 环境噪声 强度 门 限值 和 最高 环境噪声 强度 门 限值 ; 通话 过程 中 , 滤除 原始 语音 信号 中 强度 大于 最低 环境噪声 强度 门 限值 、 且 小于 最高 环境噪声 强度 门 限值 的 语音 信号 , 得到 第一 处理 语音 信号 。 ||| the present invention discloses a method of inhibiting the environmental noise and a device , the method comprising the steps of : acquiring the lowest and highest intensity thresholds ambient noise , ambient noise intensity thresholds during ; call in the original speech signal , filtering out the lowest intensity greater than the intensity of the ambient noise threshold , and the ambient noise threshold is less than the highest intensity of the speech signal , the speech signal to obtain a first processing .
另一方面 , 加速 了 电路 交换 域 回落 CSFB 过程 的 完成 , 提高 了 系统 性能 。 ||| on the other hand , accelerates the circuit switched domain csfb falls back to a completed process of improving system performance .
在 汽车 示范 运营 中 可以 借助 远程 监控 系统 采集 和 监控 汽车 行驶 里程 , 方便快捷 的 得到 实时 汽车 行驶 里程 数据 。 ||| in exemplary operation in the vehicle may be provided by the remote monitoring system acquisition and monitoring automotive mileage , easily and quickly to give a real- time vehicle mileage data .
该 整流 模块 、 该 直流 输入 模块 、 该 直流 输出模块 与 该 直流 充电 管理 模块 都 为 相互 独立 的 模块 , 并 通过 网络 总线 联系 在 一起 。 ||| the rectifier module , the dc input module , the dc output module with the dc voltage charge management modules are each independently of the other modules and coupled together via a network bus .
本发明 在 保护 终端用户 隐私 的 前提 下 , 方便 了 用户 获取 目标 联系人 的 联系 信息 , 为 终端用户 提供 了 更 广阔 的 联络 空间 。 ||| in the present invention for the premise end- user privacy is protected , it is convenient for the user to obtain the target of the contact 's contact information for the end user , provides a more extensive contact space .
本发明 公开 了 一种 数据 上报 、 数据分析 方法 及 装置 。 ||| the present invention discloses a data reporting , data analysis method and apparatus .
本发明 实施 例 的 用于 小区 切换 的 方法 和 装置 , 可 使得 小区 切换 前后 终端设备 能够 同时 使用 多个 站点 , 从而 使得 终端设备 在 切换 过程 中 能够 保持 业务 的 连续性 。 ||| an embodiment of the present invention for a method and apparatus for switching of the cell such that the cell can be switched back and forth in a terminal device is able to simultaneously using a plurality of sites , so that the terminal apparatus in the handoff process is capable of maintaining a service continuity .
本发明 公开 了 一种 多重 保护 叠加 的 保护 组 实现 方法 和 装置 。 ||| the present invention discloses a multiple protection superimposed protecting group realization method and apparatus .
所述 第一 谐振腔 和 所述 第二 谐振腔 之间 具有 一个 耦合孔 。 ||| the first resonator and the second resonator having a between the electric- connecting coupling holes .
本发明 公开 了 一种 基带 处理 方法 。 ||| the present invention discloses a baseband processing method .
所述 方法 包括 : 发送 重配 消息 , 通知 UE 重 配到 TTIbundlingHARQ 模式 ; 收到 UE 针对 重配 消息 的 反馈 后 , 进行 激活 检测 , 以 判断 UE 侧 TTIbundling 机制 是否 生效 ; 根据 检测 结果 确定 UE 采用 的 HARQ 模式 。 本发明 还 公开 了 用于 实现 所述 方法 的 装置 。 ||| said method comprising : sending a reconfiguration message , informing the ue heavy fit into ttibundlingharq mode for reassortment message ; receiving a feedback of the ue , after activation detection is performed to judge whether the ue side ttibundling mechanism based on the detected results prevail ; determining a ue employing harq mode . the present invention also discloses a device for implementing the method .
所述 超 材料 极化 转换器 包括 基材 以及 设置 在 基材 上 的 多个 人造 微结构 。 ||| the meta- material polarization converter comprises a substrate disposed on the substrate and a plurality of artificial microstructures .
一种 合法 监听 方法 和 系统 。 ||| a lawful interception method and system .
所述 方法 包括 : 接收 按 下 蓝牙 按键 的 触发 事件 ; 当 所述 按 下 的 蓝牙 按键 为 播放 按键 时 , 确定 当前 是否 正在 进行 网络 对 讲 方案 Qchat 通话 业务 ; 当 确定 当前 正在 进行 Qchat 通话 业务 时 , 将 接收 到 的 所述 播放 按键 映射 为 即 按 即 讲 PTT 按键 , 进行 话语权 抢占 。 ||| the method comprises : receiving bluetooth button is pressed a triggering event ; when the bluetooth button is pressed the play button , it is determined whether it is currently being performed by the network to talk scheme qchat call services ; when determining qchat currently ongoing call service , the receipt of the play key is mapped to a push- to- talk carried out the ptt button and 话语权 preemption .
本发明 涉及 一种 媒体 消息 回执 的 处理 方法 及 具有 网关 功能 的 装置 。 ||| the invention relates to a method of processing a media message receipts , and with the gateway functionality of the device .
本发明 公开 了 一种 时 移 频道 的 处理 方法 及 装置 , 该 方法 包括 : 在 边缘 节点 上 , 创建 时 移 频道 ; 获取 边缘 节点 上 的 时 移 用户 的 时 移 习性 ; 根据 时 移 习性 , 调整 时 移 频道 的 时 移 属性 。 ||| the present invention discloses a time- shift channel processing method and apparatus , the method comprising : at the edge node is created on the time shift on the edge node obtains the channel ; the time shift of the user according to a time shift habit ; time- shifted habit , adjusting the time- shift channel time- shifted attribute .
通过 本发明 , 提高 了 资源 利用率 。 ||| by the present invention , the resource utilization efficiency is improved .
本发明 公开 了 一种 多媒体 流 的 反转 计费 方法 , 包括 : 呼叫 双方 进行 多媒体 流 的 媒体 协商 时 , 在 信令 消息 中 为 进行 反转 计费 的 多媒体 流 设置 反转 计费 的 标识 , 通过 信令 消息 实现 多媒体 流 的 反转 计费 协商 。 ||| the present invention discloses a reversal of multimedia streams , comprising : charging method call parties for multimedia streaming media negotiation is carried out in a signaling message , is reversed charging of the multimedia stream is provided , the identification of the reversed charging is accomplished through a signaling message of a multimedia stream reversed charging negotiation .
设备 管理 服务器 包括 获取 模块 、 参数设置 模块 和 管理对象 设置 模块 ; 设备 管理 网关 包括 参数设置 模块 和 管理对象 设置 模块 。 ||| the device management server includes an acquisition module , a parameter setting module and the management object setting module ; a device management gateway comprises a parameter setting module and the management object setting module .
本发明 可以 绘制 无线 网络覆盖 地图 , 可以 为 网络 优化 提供 可靠 的 参考 数据 , 避免 路 测 花费 大量 的 人力 和 时间 , 提前 发现 网络覆盖 问题 , 避免 用户 投诉 。 ||| the present invention may be a wireless network coverage map that can be drawn for the network optimization providing reliable reference data , to avoid road tested take considerable time , effort and of network coverage problems found in advance , to avoid user complaints .
本发明 公开 了 一种 多点 协作 信息 交互 、 切换 及 CoMP 传输 恢复 方法 和 系统 。 ||| the present invention discloses a multipoint cooperation information interaction , handover and comp transmission recovery method and system .
